LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,default.payment.next.month,BAL_AMT1,BAL_AMT2,BAL_AMT3,BAL_AMT4,BAL_AMT5,BAL_AMT6
50000.0,female,high_school,single,23,0,48463.0,47321.0,45791.0,39230.0,26797.0,27364.0
10000.0,male,high_school,single,25,0,7025.0,141.0,1239.0,5911.0,-4510.0,10000.0
280000.0,female,university,single,26,0,24189.0,25252.0,26311.0,27638.0,28352.0,29217.0
210000.0,female,university,single,27,0,5073.0,-4329.0,4515.0,3082.0,6324.0,1589.0
120000.0,female,high_school,married,39,0,69830.0,64708.0,64615.0,71543.0,72527.0,74071.0
170000.0,male,graduate_school,single,26,0,22082.0,150.0,-229.0,-1933.0,-5021.0,7060.0
160000.0,male,university,married,31,0,51335.0,44575.0,5169.0,9036.0,7749.0,8947.0
500000.0,female,graduate_school,married,36,0,16079.0,-70141.0,77843.0,16531.0,5734.0,11802.0
170000.0,female,graduate_school,single,26,0,20680.0,11827.0,7522.0,10254.0,3520.0,4892.0
550000.0,male,graduate_school,single,31,0,17516.0,1506.0,-18.0,-604.0,-6787.0,480.0
160000.0,female,university,single,27,0,76964.0,76337.0,78682.0,78586.0,81145.0,84549.0
50000.0,female,university,married,45,0,44927.0,12882.0,14721.0,7396.0,7585.0,7731.0
130000.0,male,graduate_school,single,25,0,0.0,0.0,0.0,0.0,0.0,0.0
150000.0,female,university,married,45,0,136573.0,125551.0,129831.0,133821.0,135105.0,133709.0
80000.0,female,graduate_school,single,24,0,74862.0,68124.0,57848.0,56488.0,42578.0,43889.0
230000.0,male,university,single,31,0,91074.0,97085.0,109039.0,113739.0,114429.0,116274.0
390000.0,male,university,single,29,0,-754.0,-524.0,1936.0,3868.0,4781.0,5681.0
250000.0,male,graduate_school,married,35,0,60767.0,68906.0,74078.0,67507.0,-7159.0,7606.0
190000.0,male,graduate_school,single,27,0,-92368.0,79370.0,80672.0,81908.0,83049.0,84808.0
80000.0,male,university,single,27,0,43325.0,40907.0,42186.0,42882.0,49170.0,46267.0
330000.0,female,graduate_school,single,28,0,459.0,11.0,11.0,11.0,11.0,11.0
260000.0,female,high_school,single,49,0,-223457.0,11162.0,197545.0,2419.0,11.0,-2291.0
140000.0,female,graduate_school,single,31,0,106936.0,112021.0,104437.0,92929.0,91889.0,93647.0
150000.0,male,high_school,single,32,0,143142.0,146055.0,138644.0,136673.0,34090.0,1200.0
20000.0,male,high_school,single,32,0,2218.0,3364.0,3982.0,5387.0,7132.0,2180.0
100000.0,male,graduate_school,married,45,0,39849.0,41470.0,42601.0,43598.0,44742.0,46002.0
240000.0,male,unknown,married,50,0,226910.0,233059.0,226563.0,231988.0,182779.0,185710.0
60000.0,male,graduate_school,marriage_others,47,0,46682.0,-56777.0,57771.0,26088.0,28724.0,24664.0
130000.0,male,university,married,38,0,58105.0,57386.0,57681.0,61743.0,40288.0,46449.0
360000.0,male,graduate_school,single,26,0,6093.0,3475.0,2225.0,-9.0,773.0,-1521.0
470000.0,male,university,single,27,0,283573.0,292319.0,307843.0,469494.0,294307.0,299592.0
200000.0,male,university,married,39,0,-1717.0,1871.0,1090.0,614.0,620.0,0.0
110000.0,male,high_school,single,27,0,66048.0,69242.0,73032.0,76392.0,44313.0,48068.0
160000.0,female,graduate_school,single,31,0,154843.0,146318.0,152871.0,138690.0,128486.0,133046.0
20000.0,male,university,married,45,0,0.0,0.0,0.0,0.0,0.0,-19409.0
310000.0,male,university,married,36,0,21376.0,22814.0,28753.0,28832.0,29925.0,59916.0
310000.0,female,university,married,44,0,500.0,0.0,0.0,0.0,0.0,0.0
130000.0,female,university,married,25,0,123125.0,75165.0,76306.0,75974.0,78635.0,82287.0
50000.0,female,university,married,22,0,37353.0,50863.0,47899.0,33700.0,27900.0,27871.0
150000.0,female,university,single,29,0,335.0,-464.0,1062.0,-1810.0,1810.0,-3163.0
440000.0,female,graduate_school,married,53,0,282173.0,275043.0,245140.0,229395.0,211318.0,196530.0
170000.0,female,graduate_school,married,31,0,0.0,0.0,0.0,0.0,0.0,0.0
160000.0,male,high_school,single,30,0,18229.0,171575.0,120531.0,93754.0,92337.0,39096.0
330000.0,male,graduate_school,single,25,0,43636.0,41774.0,43083.0,51063.0,38427.0,22792.0
200000.0,female,university,single,31,0,96431.0,72604.0,119922.0,116463.0,114259.0,115278.0
250000.0,female,university,married,25,0,7358.0,14102.0,19681.0,15869.0,19490.0,26258.0
130000.0,male,university,single,32,0,0.0,0.0,0.0,0.0,0.0,0.0
50000.0,female,university,single,33,0,15526.0,16437.0,18076.0,18423.0,18805.0,19227.0
150000.0,female,high_school,married,51,0,108646.0,113322.0,113929.0,119913.0,123100.0,131382.0
100000.0,male,university,single,28,0,62238.0,100753.0,89708.0,86792.0,50348.0,-21181.0
140000.0,female,high_school,married,46,0,65075.0,66972.0,68805.0,70613.0,72426.0,72169.0
60000.0,male,university,married,33,0,-157.0,3790.0,8420.0,10731.0,18008.0,4695.0
30000.0,female,university,married,41,0,18519.0,15433.0,12452.0,12150.0,9583.0,7749.0
200000.0,male,graduate_school,single,38,0,-1595.0,3388.0,-1105.0,-812.0,-213.0,-5043.0
210000.0,male,graduate_school,married,34,0,12597.0,63691.0,56283.0,65799.0,-8290.0,5636.0
380000.0,female,university,married,30,0,282181.0,226919.0,103338.0,-115863.0,191200.0,162865.0
20000.0,female,graduate_school,single,23,0,15849.0,13276.0,15146.0,15719.0,14187.0,15948.0
100000.0,female,graduate_school,married,38,0,61762.0,66130.0,62132.0,45738.0,49020.0,48948.0
20000.0,female,graduate_school,single,28,0,-410.0,-13433.0,20330.0,13463.0,9192.0,6132.0
70000.0,female,university,married,29,0,875.0,1882.0,3816.0,3888.0,3913.0,3764.0
100000.0,female,graduate_school,single,31,0,96593.0,93148.0,94983.0,67323.0,51179.0,51559.0
240000.0,male,university,single,35,0,-10116.0,18057.0,-10835.0,10126.0,1323.0,-659.0
190000.0,male,graduate_school,single,26,0,175136.0,179887.0,169006.0,86306.0,87944.0,90303.0
240000.0,female,graduate_school,single,33,0,0.0,0.0,0.0,0.0,0.0,0.0
320000.0,male,graduate_school,married,40,0,0.0,0.0,0.0,0.0,0.0,0.0
140000.0,female,high_school,married,34,0,133375.0,130796.0,135966.0,138802.0,82635.0,91906.0
